Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","196","Cyprus","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","101.9","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","651.62","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","178.25","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","51.21","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","2540.19","A","Official figure",""
"TCL","Crops and livestock products","180","Democratic Republic of the Congo","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.2","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","180","Democratic Republic of the Congo","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.04","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","208","Denmark","5610","Import Quantity","01344.02","Cherries","2022","2022","t","2875.34","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5910","Export Quantity","01344.02","Cherries","2022","2022","t","663.34","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","13.85","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","1.48","A","Official figure",""
"TCL","Crops and livestock products","262","Djibouti","5610","Import Quantity","01344.02","Cherries","2022","2022","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","214","Dominican Republic","5610","Import Quantity","01344.02","Cherries","2022","2022","t","26.42","A","Official figure",""
"TCL","Crops and livestock products","214","Dominican Republic","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.98","A","Official figure",""
"TCL","Crops and livestock products","214","Dominican Republic","5910","Export Quantity","01344.01","Sour cherries","2022","2022","t","2.1","A","Official figure",""
"TCL","Crops and livestock products","218","Ecuador","5610","Import Quantity","01344.02","Cherries","2022","2022","t","3085.22","A","Official figure",""
"TCL","Crops and livestock products","818","Egypt","5610","Import Quantity","01344.02","Cherries","2022","2022","t","71.7","I","Imputed value",""
"TCL","Crops and livestock products","818","Egypt","5910","Export Quantity","01344.02","Cherries","2022","2022","t","18.51","I","Imputed value",""
"TCL","Crops and livestock products","818","Egypt","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","1525.41","I","Imputed value",""
"TCL","Crops and livestock products","222","El Salvador","5610","Import Quantity","01344.02","Cherries","2022","2022","t","11.11","A","Official figure",""
"TCL","Crops and livestock products","226","Equatorial Guinea","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","0.03","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","233","Estonia","5610","Import Quantity","01344.02","Cherries","2022","2022","t","599","A","Official figure",""
"TCL","Crops and livestock products","233","Estonia","5910","Export Quantity","01344.02","Cherries","2022","2022","t","19.69","A","Official figure",""
"TCL","Crops and livestock products","233","Estonia","5610","Import Quantity","01344.01","Sour cherries","2022","2022","t","555.94","A","Official figure",""
